"amount","project_number","report_fy","budget_cycle","fund_type","fund_number","asset_owning_dept","project_name","account","account_number"
"78027532","AJA00001","25","adopted","Sewer Funds","C700008","Public Utilities","Sewer Main Replacements","Undistributed Budget","512117"
"16813198","AJA00002","25","adopted","Sewer Funds","C700008","Public Utilities","Pipeline Rehabilitation","Undistributed Budget","512117"
"2414000","L22000","25","adopted","Sewer Funds","C700008","Public Utilities","Alvarado Laboratory Improvements","Undistributed Budget","512117"
"8550000","L24004","25","adopted","Sewer Funds","C700008","Public Utilities","Kearny Mesa Trunk Sewer","Undistributed Budget","512117"
"20000000","S15019","25","adopted","Sewer Funds","C700008","Public Utilities","Alvarado Trunk Sewer Phase IV","Undistributed Budget","512117"
"18000000","S15020","25","adopted","Sewer Funds","C700008","Public Utilities","Tecolote Canyon Trunk Sewer Improvement","Undistributed Budget","512117"
"6500000","S18006","25","adopted","Sewer Funds","C700008","Public Utilities","Harbor Drive Trunk Sewer","Undistributed Budget","512117"
"19000000","S22014","25","adopted","Sewer Funds","C700008","Public Utilities","Murphy Canyon Trunk Sewer Repair/Rehab","Undistributed Budget","512117"
"11993421","ABO00001","25","adopted","Sewer Funds","C700009","Public Utilities","Metro Treatment Plants","Undistributed Budget","512117"
"4849792","ABP00002","25","adopted","Sewer Funds","C700009","Public Utilities","Metropolitan System Pump Stations","Undistributed Budget","512117"
"3844740","ABT00003","25","adopted","Sewer Funds","C700009","Sustainability & Mobility","Citywide Energy Improvements","Undistributed Budget","512117"
"250000","AJB00001","25","adopted","Sewer Funds","C700009","Public Utilities","Metropolitan Waste Water Department Trunk Sewers","Undistributed Budget","512117"
"49447336","ALA00001","25","adopted","Sewer Funds","C700009","Public Utilities","PURE Water Program","Undistributed Budget","512117"
"4016000","L22000","25","adopted","Sewer Funds","C700009","Public Utilities","Alvarado Laboratory Improvements","Undistributed Budget","512117"
"18500000","L24000","25","adopted","Sewer Funds","C700009","Public Utilities","PS 1 & 2 Improvements & Modernization","Undistributed Budget","512117"
"1189986","S17012","25","adopted","Sewer Funds","C700009","Public Utilities","NCWRP Improvements to 30 mgd","Undistributed Budget","512117"
"3415585","S17013","25","adopted","Sewer Funds","C700009","Public Utilities","MBC Equipment Upgrades","Undistributed Budget","512117"
"5545571","ABI00001","25","adopted","Water Fund","C700010","Public Utilities","Water Treatment Plants","Undistributed Budget","512117"
"3600000","ABJ00001","25","adopted","Water Fund","C700010","Public Utilities","Water Pump Station Restoration","Undistributed Budget","512117"
"10568980","ABL00001","25","adopted","Water Fund","C700010","Public Utilities","Standpipe and Reservoir Rehabilitations","Undistributed Budget","512117"
"2695178","ACC00001","25","adopted","Water Fund","C700010","Stormwater","Watershed CIP","Undistributed Budget","512117"
"11152353","AKA00003","25","adopted","Water Fund","C700010","Public Utilities","Large Diameter Water Transmission PPL","Undistributed Budget","512117"
"122689387","AKB00003","25","adopted","Water Fund","C700010","Public Utilities","Water Main Replacements","Undistributed Budget","512117"
"90071043","ALA00001","25","adopted","Water Fund","C700010","Public Utilities","PURE Water Program","Undistributed Budget","512117"
"3570000","L22000","25","adopted","Water Fund","C700010","Public Utilities","Alvarado Laboratory Improvements","Undistributed Budget","512117"
"2402405","L23001","25","adopted","Water Fund","C700010","Public Utilities","El Camino Real Pipeline","Undistributed Budget","512117"
"5247000","S10008","25","adopted","Water Fund","C700010","Public Utilities","El Monte Pipeline No 2","Undistributed Budget","512117"
"11000000","S11026","25","adopted","Water Fund","C700010","Public Utilities","Montezuma/Mid-City Pipeline Phase II","Undistributed Budget","512117"
"35000000","S12013","25","adopted","Water Fund","C700010","Public Utilities","Alvarado 2nd Extension Pipeline","Undistributed Budget","512117"
"400000","S12016","25","adopted","Water Fund","C700010","Public Utilities","Otay 1st/2nd PPL West of Highland Avenue","Undistributed Budget","512117"
"6860195","S16027","25","adopted","Water Fund","C700010","Public Utilities","Morena Pipeline","Undistributed Budget","512117"
"500000","S20001","25","adopted","Water Fund","C700010","Public Utilities","Otay 2nd Pipeline Phase 4","Undistributed Budget","512117"
"3498000","S21004","25","adopted","Water Fund","C700010","Public Utilities","Rancho Bernardo Industrial Pump Stn Repl","Undistributed Budget","512117"
"31944673","S22003","25","adopted","Water Fund","C700010","Public Utilities","Lakeside Valve Station Replacement","Undistributed Budget","512117"
"20402630","S23002","25","adopted","Water Fund","C700010","Public Utilities","Lake Hodges Dam Replacement","Undistributed Budget","512117"
"1572000","S23012","25","adopted","Water Fund","C700010","Public Utilities","Miramar WTP Residuals Redirection","Undistributed Budget","512117"
"2000000","S24000","25","adopted","Water Fund","C700010","Public Utilities","Alvarado WTP Filter Gallery Piping Repl","Undistributed Budget","512117"
"2000000","S24002","25","adopted","Water Fund","C700010","Public Utilities","Barret Dam Outlet Bulkhead & Drawdown Improvements","Undistributed Budget","512117"
"2000000","S24003","25","adopted","Water Fund","C700010","Public Utilities","Lower Otay Dam Outlet Improvements","Undistributed Budget","512117"
"474362","ACC00001","25","adopted","Refuse Disposal Fund","C700040","Stormwater","Watershed CIP","Undistributed Budget","512117"
"8650000","AFA00001","25","adopted","Refuse Disposal Fund","C700040","Environmental Services","Minor Improvements to Landfills","Undistributed Budget","512117"
"750000","L17000","25","adopted","Refuse Disposal Fund","C700040","Environmental Services","Miramar Landfill Facility Improvements","Undistributed Budget","512117"
"2000000","AEA00002","25","adopted","Golf Course Enterprise Fund","C700044","Parks & Recreation","Balboa Park Golf Course","Undistributed Budget","512117"
"100000","ABE00001","16","adopted","Development Impact Fees","C400112","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"60000","ABE00001","16","adopted","Development Impact Fees","C400118","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"250000","ABE00001","16","adopted","Development Impact Fees","C400129","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"137000","ABE00001","16","adopted","Development Impact Fees","C400132","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"49900","ABE00001","16","adopted","Development Impact Fees","C400136","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"865000","ABE00001","16","adopted","General Fund","C400265","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"615940","ABI00001","16","adopted","Water Fund","C700010","Public Utilities","Water Treatment Plants","Undistributed Budget","512117"
"3125040","ABJ00001","16","adopted","Water Fund","C700010","Public Utilities","Water Pump Station Restoration","Undistributed Budget","512117"
"5500000","ABK00001","16","adopted","Water Fund","C700010","Public Utilities","Dams and Reservoirs","Undistributed Budget","512117"
"2088248","ABL00001","16","adopted","Water Fund","C700010","Public Utilities","Standpipe and Reservoir Rehabilitations","Undistributed Budget","512117"
"4000000","ABO00001","16","adopted","Sewer Funds","C700009","Public Utilities","Metro Treatment Plants","Undistributed Budget","512117"
"1900000","ABP00001","16","adopted","Sewer Funds","C700008","Public Utilities","Pump Station Restorations","Undistributed Budget","512117"
"5264086","ABT00001","16","adopted","General Fund","C400265","General Services","City Facilities Improvements","Undistributed Budget","512117"
"1675000","ACA00001","16","adopted","General Fund","C400265","Stormwater","Drainage Projects","Undistributed Budget","512117"
"4380361","ACC00001","16","adopted","General Fund","C400265","Stormwater","Watershed CIP","Undistributed Budget","512117"
"175000","AEA00002","16","adopted","Golf Course Enterprise Fund","C700044","Parks & Recreation","Balboa Park Golf Course","Undistributed Budget","512117"
"853152","AGE00001","16","adopted","Environmental Growth Funds","C200110","Parks & Recreation","Resource-Based Open Space Parks","Undistributed Budget","512117"
"500000","AGE00001","16","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Resource-Based Open Space Parks","Undistributed Budget","512117"
"6296250","AGF00004","16","adopted","Mission Bay Park Improvement Fund","C200386","Parks & Recreation","Mission Bay Improvements","Undistributed Budget","512117"
"5000000","AID00001","16","adopted","Utilities Undergrounding Program Fund","C200218","Transportation","Utilities Undergrounding Program","Undistributed Budget","512117"
"5000000","AID00006","16","adopted","Gas Tax Fund","C200118","Transportation","Concrete Streets","Undistributed Budget","512117"
"60000","AID00007","16","adopted","Bus Stop Capital Improvement Fund","C400691","Transportation","Bus Stop Improvements","Undistributed Budget","512117"
"1000000","AIE00001","16","adopted","TransNet Funds","C400169","Transportation","Bridge Rehabilitation","Undistributed Budget","512117"
"500000","AIE00001","16","adopted","General Fund","C400265","Transportation","Bridge Rehabilitation","Undistributed Budget","512117"
"1000000","AIH00001","16","adopted","General Fund","C400265","Transportation","Installation of City Owned Street Lights","Undistributed Budget","512117"
"2700000","AIH00002","16","adopted","General Fund","C400265","Transportation","Street Light Circuit Upgrades","Undistributed Budget","512117"
"3600000","AIK00003","16","adopted","General Fund","C400265","Transportation","Sidewalk Repair and Reconstruction","Undistributed Budget","512117"
"100000","AIL00001","16","adopted","General Fund","C400265","Transportation","Traffic Calming","Undistributed Budget","512117"
"1349521","AIL00002","16","adopted","TransNet Funds","C400169","Transportation","Install T/S Interconnect Systems","Undistributed Budget","512117"
"220000","AIL00004","16","adopted","Development Impact Fees","C400121","Transportation","Traffic Signals - Citywide","Undistributed Budget","512117"
"10000","AIL00005","16","adopted","Development Impact Fees","C400115","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"91000","AIL00005","16","adopted","General Fund","C400265","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"42000000","AJA00001","16","adopted","Sewer Funds","C700008","Public Utilities","Sewer Main Replacements","Undistributed Budget","512117"
"47745627","AJA00002","16","adopted","Sewer Funds","C700008","Public Utilities","Pipeline Rehabilitation","Undistributed Budget","512117"
"2600000","AJA00003","16","adopted","Sewer Funds","C700008","Public Utilities","Unscheduled Projects","Undistributed Budget","512117"
"250000","AKA00002","16","adopted","Water Fund","C700010","Public Utilities","Pressure Reduction Facility Upgrades","Undistributed Budget","512117"
"10404555","AKA00003","16","adopted","Water Fund","C700010","Public Utilities","Large Diameter Water Transmission PPL","Undistributed Budget","512117"
